PLOT	REP	plot	x	y	block_BS	block_BS.mod	block_BS2	block_BS2.edit	blocking1	blocking3	blocking4	TOTAL_cm	AHOR_cm	REDOX_cm
1	3	1	1	1	A	B	A	A	A	A	A	37.67	25	32
2	3	2	1	2	A	B	A	A	A	A	A	39.33	27.67	26.67
3	3	3	1	3	A	B	A	A	A	A	A	38	22	10
4	3	4	1	4	A	B	A	A	A	A	B	40.67	24.33	27.83
5	3	5	1	5	A	A	A	A	A	A	B	40	25	40
6	3	6	1	6	A	A	A	A	A	A	B	39.67	23	36.5
7	3	7	1	7	A	A	A	A	A	A	C	42.33	23.33	
8	3	8	1	8	A	A	A	A	A	A	C	43.67	30	
9	3	9	1	9					A	A	C	41.33	21.67	15
10	3	10	1	10	A	A	A	A	A	A	D	42.67	23	
11	3	11	1	11						A	D	40.67	17.67	15
12	3	12	1	12	A	A	A	A		A	D	42.33	42.33	
13	3	13	1	13						A	E	41.67	11.33	
14	3	14	1	14	A	A	A	A		A	E	41.33	41	31.5
15	3	15	1	15	A	A	A	A		A	E	42.33	42.33	36
16	3	16	1	16	A	A	A	A		A	F	40.67	40.67	34
17	3	17	1	17	A	A	A	A		A	F	40.33	37.67	36.5
18	3	18	1	18	A	A	A	A		A	F	40.67	40.67	38
19	3	19	2	1	A	B	A	A	A	A	A	41.67	26.67	27.33
20	3	20	2	2	A	B	A	A	A	A	A	35.67	25.5	35
21	3	21	2	3	A	B	A	A	A	A	A	40	25.67	15
22	3	22	2	4	A	B	A	A	A	A	B	40.33	30	29.67
23	3	23	2	5	A	A	A	A	A	A	B	41	34	
24	3	24	2	6	A	A	A	A	A	A	B	43.33	43	
25	3	25	2	7	A	A	A	A	A	A	C	39.33	39.33	30
26	3	26	2	8	A	A	A	A	A	A	C	42.5	42.5	
27	3	27	2	9	A	A	A	A	A	A	C	42.33	42.33	
28	3	28	2	10	A	A	A	A	A	A	D	42.33	42.33	
29	3	29	2	11	A	A	A	A	A	A	D	42.67	42.67	
30	3	30	2	12	A	A	A	A	A	A	D	40.33	40.33	
31	3	31	2	13	A	A	A	A	A	A	E	41.33	41.33	39.33
32	3	32	2	14	A	A	A	A	A	A	E	41.33	41.33	32.33
33	3	33	2	15	A	A	A	A	A	A	E	40.33	40.33	27.33
34	3	34	2	16	A	A	A	A	A	A	F	41	41	39
35	3	35	2	17	A	A	A	A	A	A	F	40.33	40.33	21.67
36	3	36	2	18	A	A	A	A	A	A	F	41	41	32
37	3	37	3	1	A	B	A	A	A	A	A	42.33	32	32.5
38	3	38	3	2	A	B	A	A	A	A	A	40	28.67	29
39	3	39	3	3	A	B	A	A	A	A	A	39.67	25.67	33.67
40	3	40	3	4	A	B	A	A	A	A	B	38.67	33.33	38
41	3	41	3	5	A	A	A	A	A	A	B	42	33.67	22
42	3	42	3	6	A	A	A	A	A	A	B	40	37.33	33
43	3	43	3	7	A	A	A	A	A	A	C	41.33	38.33	39
44	3	44	3	8	A	A	A	A	A	A	C	43	41.67	43
45	3	45	3	9	A	A	A	A	A	A	C	43.33	43.33	
46	3	46	3	10	A	A	A	A	A	A	D	41.67	41.67	40
47	3	47	3	11	A	A	A	A	A	A	D	41	40.67	16
48	3	48	3	12	A	A	A	A	A	A	D	40.33	40	21
49	3	49	3	13	A	A	A	A	A	A	E	40.33	40.33	7
50	3	50	3	14	A	A	A	A	A	A	E	41.67	41.67	24
51	3	51	3	15	A	A	A	A	A	A	E	41.67	41.67	34
52	3	52	3	16	A	A	A	A	A	A	F	40.67	40.67	23.33
53	3	53	3	17	A	A	A	A	A	A	F	41.33	41.33	33
54	3	54	3	18	A	A	A	A	A	A	F	40	40	28.5
55	3	55	4	1	A	B	A	A	B	A	A	41.33	28.33	35
56	3	56	4	2	A	B	A	A	B	A	A	38	31	
57	3	57	4	3	A	B	A	A	B	A	A	38.33	27	31
58	3	58	4	4	A	B	A	A	A	A	B	42	29	38
59	3	59	4	5	A	A	A	A	A	A	B	43	31	
60	3	60	4	6	A	A	A	A	A	A	B	43	35	40
61	3	61	4	7	A	A	A	A	A	A	C	41.33	33	8
62	3	62	4	8	A	A	A	A	A	A	C	40.67	38	
63	3	63	4	9	A	A	A	A	A	A	C	40.33	39.67	
64	3	64	4	10	A	A	A	A	A	A	D	40.33	39	26.5
65	3	65	4	11	A	A	A	A	A	A	D	40.33	37.33	22
66	3	66	4	12	A	A	A	A	A	A	D	41	41	32
67	3	67	4	13	A	A	A	A	A	A	E	42.33	38.33	23
68	3	68	4	14	A	A	A	A	A	A	E	40.67	40.67	31.33
69	3	69	4	15	A	A	A	A	A	A	E	39.67	39.67	40
70	3	70	4	16	A	A	A	A	A	A	F	40.33	40.33	20
71	3	71	4	17	A	A	A	A	A	A	F	40.33	40.33	18.67
72	3	72	4	18	A	A	A	A	A	A	F	41.67	41.67	19.67
73	3	73	5	1	B	B	A	A	B	B	A	42	27.33	23.67
74	3	74	5	2	B	B	A	A	B	B	A	40.67	31.67	34
75	3	75	5	3	B	B	A	A	B	B	A	39.67	27.67	26
76	3	76	5	4	B	B	A	A	B	B	B	40	28.67	
77	3	77	5	5	B	B	A	A	B	B	B	42.67	28.67	19.5
78	3	78	5	6	B	B	A	A	B	B	B	41	27.33	
79	3	79	5	7	B	B	A	A	B	B	C	39	32	38
80	3	80	5	8	B	B	A	A	B	B	C	39	30	
81	3	81	5	9	B	B	A	A	B	B	C	42	30.67	
82	3	82	5	10	B	B	A	A	B	B	D	40	33.33	30
83	3	83	5	11	B	B	A	A	B	B	D	39.33	35.67	33.5
84	3	84	5	12	B	B	A	A	A	B	D	36.33	36	25
85	3	85	5	13	B	B	A	A	A	B	E	40.67	34.33	
86	3	86	5	14	B	B	A	A	A	B	E	39.33	39.33	34.5
87	3	87	5	15		A	A	A	A	B	E	41	41	20.33
88	3	88	5	16	B	A	B	A	A	B	F	39.67	39.67	27.67
89	3	89	5	17	B	A	B	A	A	B	F	39.33	39.33	26
90	3	90	5	18	B	A	B	A	A	B	F	40.67	40.67	
91	3	91	6	1	B	B	B	A	B	B	A	40.33	27.67	
92	3	92	6	2	B	B	B	A	B	B	A	40	32.33	9
93	3	93	6	3	B	B	B	A	B	B	A	38	26.33	34.5
94	3	94	6	4	B	B	B	A	B	B	B	37.67	25.67	29.33
95	3	95	6	5	B	B	B	A	B	B	B	41.33	25.33	27
96	3	96	6	6	B	B	B	A	B	B	B	40.33	26.33	
97	3	97	6	7	B	B	B	A	B	B	C	40.33	29.33	22
98	3	98	6	8	B	B	B	A	B	B	C	42	31.67	
99	3	99	6	9	B	B	B	A	B	B	C	40.67	33.33	34.5
100	3	100	6	10	B	B	B	A	B	B	D	40	31.67	36
101	3	101	6	11	B	B	B	A	B	B	D	39.67	30.67	5
102	3	102	6	12	B	B	B	A	B	B	D	40	32.67	36
