NA,seedMass,LDMC,SLA,LNC,LCC,LPC,SDMC,circularity,vegetativeHeight,leafLength,leafThickness,leafWidth,petioleLength,Lifeform,photosyntheticPathway,adventitious,primary,bulbs,corms,fibrous,rhizomes,stolons,tubers,habitClean,nFixer,lifeCycleCoded,floweringStartcoded,wis_IL,genome_Use
Agalinis_tenuifolia,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,0,0,0,1,0,0,0,F,0,1,8,FACW,NA
Agastache_nepetoides,NA,310.6,NA,NA,NA,NA,454.9,NA,143.8,NA,0.22,NA,32.3,NA,C3,1,1,0,0,0,1,0,0,F,0,3,7,FACU,1.6
Agastache_scrophulariifolia,NA,284.8,NA,NA,NA,NA,442.6,NA,143.95,NA,0.25,NA,52.06,NA,C3,0,1,0,0,0,0,0,0,F,0,3,7,UPL,1.5
Allium_canadense,11.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,0,1,0,0,0,0,0,F,0,3,5,FACU,NA
Allium_cernuum,3.85,151.2,153.1,NA,NA,NA,182.3,0.06,42.26,38.35,0.74,0.5,NA,NA,C3,1,0,1,0,0,0,0,0,F,0,3,7,FACU,NA
Amorpha_canescens,1.197,65.7,15.3,2.26,47.67,0.15,69.4,0.09,58.38,7.69,0.26,2.65,0.63,geophytes,C3,0,1,0,0,0,0,0,0,SS,1,3,6,UPL,1.7
Andropogon_gerardii,0.5338,453.7,142.7,1.44,42.95,NA,450.1,0.05,159.44,30.42,0.33,0.74,NA,geophytes,C4,1,0,0,0,0,1,0,0,G,0,3,8,FAC,5.9
Anemone_canadensis,1.844,343.9,158.7,1.68,42.82,0.31,29.8,0.1,49.54,7.63,0.33,8.97,60.75,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,5,FACW,12.3
Anemone_cylindrica,0.6268,434.2,124.6,1.52,44.09,NA,433,0.06,34.37,4,0.32,6.6,73.58,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,UPL,21.4
Anemone_virginiana,1.13,334.8,NA,NA,NA,NA,424.9,NA,66.34,NA,0.23,NA,123.44,NA,C3,0,1,0,0,0,0,0,0,F,0,3,5,FACU,26.6
Antennaria_neglecta,0.0806,NA,177.1,1.49,NA,0.19,NA,NA,35.24,NA,NA,NA,NA,NA,C3,1,0,0,0,0,0,1,0,F,0,3,4,UPL,NA
Apios_americana,NA,NA,NA,NA,NA,NA,NA,NA,30.48,NA,NA,NA,NA,NA,C3,1,1,0,0,0,1,0,1,V,1,3,7,FACW,NA
Arnoglossum_plantagineum,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,0,0,0,1,0,0,0,F,0,3,7,FAC,NA
Asclepias_hirtella,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,F,0,3,5,UPL,NA
Asclepias_sullivantii,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,0,0,0,0,1,0,0,F,0,3,6,UPL,NA
Asclepias_syriaca,2.1755,242.2,14.7,2.14,44.33,0.34,239.9,0.67,128.14,14.92,0.41,7.07,8.73,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,6,FACU,0.9
Asclepias_tuberosa,4.8227,279.7,169.7,2.14,44.63,NA,278.9,0.32,60.6,8.13,0.3,1.34,1.92,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,UPL,1.1
Asclepias_verticillata,1.898,32,111.2,1.89,43.25,0.14,375.7,0.08,45.2,4.32,0.44,0.14,NA,hemicryptophytes,C3,1,0,0,0,1,1,0,0,F,0,3,7,FACU,0.7
Asclepias_viridis,6.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,F,0,3,5,UPL,NA
Astragalus_canadensis,1.2464,292.9,163.9,3.21,43.12,NA,415.3,0.03,81.78,7.53,0.24,3.01,13.08,hemicryptophytes,C3,1,1,0,0,0,1,0,0,F,1,3,7,FAC,1.9
Baptisia_alba,13.2963,366.5,116.9,2.99,46.28,NA,49.5,0.22,102.28,4.46,0.29,7.26,7.02,hemicryptophytes,C3,1,1,0,0,0,1,0,0,F,1,3,6,FACU,3
Baptisia_bracteata,1.7667,32.3,115.4,3.27,46.8,NA,37.5,0.15,56.64,5.93,0.39,9.42,0.54,hemicryptophytes,C3,1,1,0,0,0,1,0,0,F,1,3,5,UPL,2.4
Blephilia_ciliata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,F,0,3,5,UPL,NA
Bouteloua_curtipendula,0.4476,586.1,114,1.7,42.36,0.22,54.5,0.04,44.81,19.22,0.17,0.4,NA,hemicryptophytes,C4,1,0,0,0,0,1,0,0,G,0,3,8,UPL,1.2
Brickellia_eupatorioides,0.5795,365.7,123.2,1.98,47.19,NA,400.7,0.3,61.19,4.8,0.31,1.05,NA,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,8,UPL,2.4
Bromus_kalmii,2.5594,NA,356,NA,NA,NA,NA,NA,97.15,NA,NA,NA,NA,NA,C3,1,0,0,0,1,0,0,0,G,0,3,6,FAC,NA
Camassia_scilloides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,0,1,0,0,0,0,0,F,0,3,4,FAC,NA
Campanula_rotundifolia,0.6,242.9,183.4,2.13,44.43,0.21,31.8,0.11,29.78,6.08,0.33,0.26,11.38,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,FACU,6.4
Carex_annectens,0.43,345.2,152.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,0,0,0,1,0,0,0,G,0,3,5,FACW,NA
